,items,prices,reviews,Details,Links,images
0,Kawasaki Ninja 300,"3,43,000onwards",Not rated yet,"296 cc, 38.88 bhp, 179 kg",https://www.bikewale.com/kawasaki-bikes/ninja-300/,https://imgd.aeplcdn.com/310x174/n/cw/ec/149821/ninja-300-left-side-view.jpeg?isig=0
1,Royal Enfield Hunter 350,"1,49,900onwards",4.6,"349.34 cc, 36 kmpl, 20.2 bhp, 177 kg",https://www.bikewale.com/kawasaki-bikes/ninja-300/,https://imgd.aeplcdn.com/310x174/n/cw/ec/124013/hunter-350-right-front-three-quarter.jpeg?isig=0
2,Honda SP 125,"85,862onwards",4.4,"124 cc, 10.72 bhp, 116 kg",https://www.bikewale.com/royalenfield-bikes/hunter-350/,https://imgd.aeplcdn.com/310x174/n/cw/ec/43482/sp-125-right-front-three-quarter-2.jpeg?isig=0
3,Honda Activa 6G,"76,826onwards",4.1,"109.51 cc, 7.73 bhp, 106 kg",https://www.bikewale.com/royalenfield-bikes/hunter-350/,https://imgd.aeplcdn.com/310x174/n/cw/ec/44686/activa-6g-right-front-three-quarter.jpeg
4,Hero Splendor Plus,"72,465onwards",4.5,"97.2 cc, 7.91 bhp, 112 kg",https://www.bikewale.com/honda-bikes/sp-125/,https://imgd.aeplcdn.com/310x174/n/cw/ec/15109/splendor-plus-right-front-three-quarter-2.jpeg?isig=0
5,Royal Enfield Classic 350,"1,93,080onwards",4.5,"349 cc, 32 kmpl, 20.2 bhp, 195 kg",https://www.bikewale.com/honda-bikes/sp-125/,https://imgd.aeplcdn.com/310x174/n/cw/ec/101487/classic-350-right-front-three-quarter-6.jpeg?isig=0
6,Royal Enfield Bullet 350,"1,50,894onwards",4.7,"346 cc, 19.1 bhp, 191 kg",https://www.bikewale.com/honda-bikes/activa-6g/,https://imgd.aeplcdn.com/310x174/bw/ec/26288/Royal-Enfield-Bullet-350-Twinspark-Side-86212.jpg?v=201711021421
7,Yamaha MT 15 V2,"1,65,903onwards",4.7,"155 cc, 18.1 bhp, 141 kg",https://www.bikewale.com/honda-bikes/activa-6g/,https://imgd.aeplcdn.com/310x174/n/cw/ec/115871/mt-15-right-front-three-quarter-5.png?isig=0
8,TVS Raider 125,"91,356onwards",4.3,"124.8 cc, 57 kmpl, 11.2 bhp, 123 kg",https://www.bikewale.com/hero-bikes/splendor-plus/,https://imgd.aeplcdn.com/310x174/n/cw/ec/103183/raider-125-right-front-three-quarter-4.png?isig=0
9,Bajaj Pulsar NS200,"1,42,051onwards",4.7,"199.5 cc, 24.13 bhp, 160 kg",https://www.bikewale.com/hero-bikes/splendor-plus/,https://imgd.aeplcdn.com/310x174/n/cw/ec/58025/pulsar-ns-right-front-three-quarter-6.jpeg?isig=0
